Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,Comment
0,LZ0ADN,438.400,-,7.600,,79.7,79.7,DMR,"Chan: RU672, Modes: dmr+nxdn, София, Dashboard: https://lz0adn.duckdns.org/, CallID: 284040, Slot1: TG 284 - ADN Systems BG, Slot2:  TG 2842, 28499, 284112 - ADN Systems BG, CC: 1"
1,LZ0ARA,433.350,,0.000,TSQL,88.5,88.5,FM,"Chan: RU268, Modes: parrot, Варна, power: 2w"
2,LZ0ARB,439.450,-,7.600,,79.7,79.7,FM,"Chan: RU756, Modes: analog, Велико Търново - Арбанаси (РПЦ Резонанс)"
3,LZ0ASG,439.600,-,7.600,TSQL,79.7,79.7,FM,"Chan: RU768, Modes: analog, Асеновград - хълм, южно над града"
4,LZ0ATV,439.425,-,7.600,,79.7,79.7,DMR,"Chan: RU754, Modes: dmr, София - хотел Копито"
5,LZ0BAN,439.150,-,7.600,TSQL,79.7,79.7,FM,"Chan: RU732, Modes: analog, Банско - връх Тодорка"
6,LZ0BDZ,145.350,-,0.600,,79.7,79.7,FM,"Chan: R14, RV28, Modes: analog, Бузлуджа"
7,LZ0BGM,439.300,-,7.600,TSQL,79.7,79.7,FM,"Chan: RU744, Modes: analog, Мусала - връх Мусала"
8,LZ0BGN,439.200,-,7.600,TSQL,79.7,79.7,FM,"Chan: RU736, Modes: analog, Бузлуджа"
9,LZ0BGY,439.600,-,7.600,TSQL,79.7,79.7,FM,"Chan: RU768, Modes: analog, Ябланица - връх Драгоица, + радиолинк с LZ0DOE"
10,LZ0BLG,439.300,-,7.600,,79.7,79.7,DMR,"Chan: RU744, Modes: dmr, Благоевград"
11,LZ0BOT,145.650,-,0.600,TSQL,79.7,79.7,FM,"Chan: R2, RV52, Modes: analog, Ботев - връх Ботев (НУРТС), Ретранслатор с национално значение."
12,LZ0BSK,438.850,-,7.600,,79.7,79.7,FM,"Chan: RU708, Modes: analog, Карлово - водна електроцентрала"
13,LZ0CUM,145.675,-,0.600,,79.7,79.7,FM,"Chan: R3, RV54, Modes: analog, Сливен - връх Чумерна, хижа Чумерна, Ретранслатор с национално значение."
14,LZ0DAA,438.525,-,7.600,,79.7,79.7,Auto,"Chan: RU682, Modes: dstar, София - Копитото (НУРТС)"
15,LZ0DAB,438.550,-,7.600,,79.7,79.7,Auto,"Chan: RU684, Modes: dstar, София - Копитото (НУРТС), DMR+ и XLX023B"
16,LZ0DAD,438.500,-,7.600,,79.7,79.7,DMR,"Chan: RU680, Modes: dmr+dstar+fusion, Слънчев Бряг - връх Еделвайс (НУРТС)"
17,LZ0DAF,438.450,-,7.600,,79.7,79.7,DMR,"Chan: RU676, Modes: dmr+dstar, Царево - връх Папия"
18,LZ0DAM,439.275,-,7.600,,79.7,79.7,Auto,"Chan: RU742, Modes: dstar, Мусала - връх Мусала, Линк към реф. XLX-359 и BM 284359."
19,LZ0DAO,438.450,-,7.600,,79.7,79.7,Auto,"Chan: RU676, Modes: dstar, Гоце Делчев - връх Ореляк (НУРТС)"
20,LZ0DAP,438.500,-,7.600,,79.7,79.7,Auto,"Chan: RU680, Modes: dstar, Пловдив - Здравец (НУРТС), По подразбиране на рефлектор XLX023B, с блокирани линкове."
